,Name,City,Rating,Rating Count,Telephone,Cuisine,Cost for two,Address,Famous Food,updated_url
16784,The Globe Grub,Bengaluru,4.5,1608.0,080 49653194,"Continental, North Indian, Asian, Italian",1300.0,"C K Emerald, Opposite Yes Bank, BTM Layout, Near Shoppers Stop, Bannerghata Main Road, BTM, Bangalore","Pizza , Fish , Pasta , Chaat , Chicken Wings , Momos , Mocktails",https://www.zomato.com/bangalore/the-globe-grub-btm-bangalore
16794,TBC- Sky Lounge,Bengaluru,4.5,2623.0,080 42106712 +91 7624959444,"Continental, Asian, Italian, North Indian",1600.0,"36/1, 5th Floor, Berry's Hotel, Kadubeesanahalli, Opposite JP Morgan, Ring Road, Marathahalli, Bangalore","Peri Peri Chicken , Cocktails , Nachos , Pasta , Mocktails , Fish , Long Island Iced Tea",https://www.zomato.com/bangalore/tbc-sky-lounge-marathahalli-bangalore
16192,AB's - Absolute Barbecues,Bengaluru,4.5,2846.0,+91 7337336716,"European, Mediterranean, North Indian, BBQ",1400.0,"2nd Floor, Roseline Landmark, 5th B Cross, HRBR Layout, 3rd Block, Kalyan Nagar, Bangalore","Fish , Paan Ice Cream , Sea Food , Crispy Corn , Mocktails , Rabri , Pan Shot Ice Cream",https://www.zomato.com/bangalore/abs-absolute-barbecues-kalyan-nagar-bangalore
8215,Brew and Barbeque - A Microbrewery Pub,Bengaluru,4.5,8057.0,080 46809721,"Continental, North Indian, BBQ, Steak",1400.0,"36/4, Fourth Floor, Soul Space Arena, Outer Ring Road, Doddanekkundi Village, Marathahalli, Bangalore","Craft Beer , Cocktails , Wheat Beer , Nachos , Chicken Delight Pizza , Sea Food , Mocktails",https://www.zomato.com/bangalore/brew-and-barbeque-a-microbrewery-pub-marathahalli-bangalore
8923,Belgian Waffle Factory,Bengaluru,4.5,1810.0,+91 9481511911,Desserts,500.0,"65, Markham Road, Ashok Nagar, Brigade Road, Bangalore","Coffee , Berryblast , Nachos , Chocolate Waffles , Nutella Waffle , Chocolate Overload , Sandwich",https://www.zomato.com/bangalore/belgian-waffle-factory-brigade-road
8103,AB's - Absolute Barbecues,Bengaluru,4.5,13164.0,+91 7337336712 040 45659911,"European, Mediterranean, North Indian, BBQ",1600.0,"90/4, 3rd Floor, Outer Ring Road, Munnekollaly Village, Marathahalli, Bangalore","Fish , Paan Ice Cream , Sea Food , Crispy Corn , Biryani , Pineapple Grill , Prawn",https://www.zomato.com/bangalore/abs-absolute-barbecues-marathahalli
8415,The Boozy Griffin,Bengaluru,4.5,5788.0,+91 9513332324 +91 9513332337,"European, Continental",1800.0,"20/7, 4th & 5th Floor, Swamy Legato, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore","Cocktails , Pizza , Long Island Iced Tea , Nachos , Sea Food Platter , Pesto Pasta , Chicken Wings",https://www.zomato.com/bangalore/the-boozy-griffin-marathahalli
10079,Brahmin's Coffee Bar,Bengaluru,4.5,2812.0,+91 9845030234,South Indian,100.0,"Ranga Rao Road, Near Shankar Mutt, Shankarapura, Near Basavanagudi, Bangalore","Filtered Coffee , Kesari Bath , Idli Vada , Upma , Badam Milk , Kharabath , Tea",https://www.zomato.com/bangalore/brahmins-coffee-bar-basavanagudi
8806,Santé Spa Cuisine,Bengaluru,4.5,527.0,080 45128828,"Healthy Food, Salad, Mediterranean",1800.0,"151, 2nd Cross, Domlur 2nd Stage, Indiranagar, Bangalore","Dumplings , Salad , Healthy Veg Food , Farm Pizza , Smoothie Bowl , Pink Lemonade , Whole Wheat Spaghetti",https://www.zomato.com/bangalore/santé-spa-cuisine-1-indiranagar-bangalore
16044,AB's - Absolute Barbecues,Bengaluru,4.5,4215.0,+91 7337336715,"European, Mediterranean, North Indian, BBQ",1600.0,"I20-A2, 2nd Floor, EPIP Zone, Near Vydehi Hospital, Whitefield, Bangalore","Paan Ice Cream , Fish , Sea Food , Prawn , Crispy Corn , Gulab Jamun , Biryani",https://www.zomato.com/bangalore/abs-absolute-barbecues-whitefield
4741,Lot Like Crepes,Bengaluru,4.5,1051.0,+91 9742293475 +91 8065650566,"Desserts, Continental",550.0,"203, 1st Main, Koramangala 7th Block, Bangalore","Paneer Peri Peri , Pancakes , Peri Chicken , Mango Berry , Chicken Breast , Sweet Crepe , Nutella Crepe",https://www.zomato.com/bangalore/lot-like-crepes-koramangala-7th-block
8122,Burma Burma,Bengaluru,4.5,2144.0,080 43008120 080 43008130,"Asian, Burmese",1500.0,"607, Ground Floor, 12th Main, Hal 2nd Stage, Indiranagar, Bangalore","Samosa Soup , Khau Suey , Avocado Ice Cream , Khao Suey , Salad , Bubble Tea , Noodle",https://www.zomato.com/bangalore/burma-burma-indiranagar-bangalore
10277,O.G. Variar & Sons,Bengaluru,4.5,1256.0,080 23324808,"Bakery, Desserts",200.0,"12th Main, 2nd Block, Rajajinagar, Bangalore","Veg Puff , Plum Cake , Sponge Cake , Coconut Biscuits , Fruit Cake , Tea , Butter Cookies",https://www.zomato.com/bangalore/o-g-variar-sons-rajajinagar
13649,Belgian Waffle Factory,Bengaluru,4.5,392.0,+91 9481511911,Desserts,500.0,"5M/406, Ground Floor, 2nd Block Extension, Hennu-Banaswadi Road, Kalyan Nagar, Bangalore","Chocolate Overload , Crunchy Waffles , Chocolate Waffles , Belgian Waffles , Nachos , French Fries , Oreo Waffle",https://www.zomato.com/bangalore/belgian-waffle-factory-kalyan-nagar-bangalore
8696,ECHOES Koramangala,Bengaluru,4.5,3529.0,+91 9663042921,"Cafe, North Indian, Chinese, Desserts",950.0,"Shop 44, 4th B Cross Road, Koramangala 5th Block, Bangalore","Pasta , Pizza , Waffles , Burgers , Tandoori Momos , Nachos , Fiery Chicken",https://www.zomato.com/bangalore/echoes-koramangala-koramangala-5th-block
16459,Corner House Ice Cream,Bengaluru,4.5,380.0,+91 7337681817,"Ice Cream, Desserts",350.0,"146, Near William Penn, Koramangala 5th Block, Bangalore","Death By Chocolate , Apple Crumble , Brownie Chocolate , Hot Chocolate , Brown Bomb , Fudge Cake , Apple Pie",https://www.zomato.com/bangalore/corner-house-ice-cream-koramangala-5th-block
8534,Brik Oven,Bengaluru,4.5,2523.0,+91 9148100119,"Cafe, Pizza, Beverages",1200.0,"19, Church Street, Bangalore","Waffles , Garlic Bread With Cheese , Brownie Shake , Mushroom Pizza , Diavola Pizza , Big Bang Shake , Bacon Pizza",https://www.zomato.com/bangalore/brik-oven-church-street
16199,AB's - Absolute Barbecues,Bengaluru,4.5,2332.0,+91 7337336717,"European, Mediterranean, North Indian, BBQ",1600.0,"1st Floor, GRS Towers, Above Spencers Hyper Market, Sarjapur Main Road, Sarjapur Road, Bangalore","Paan Ice Cream , Fish , Crispy Corn , Pasta , Sea Food , Biryani , Mocktails",https://www.zomato.com/bangalore/abs-absolute-barbecues-sarjapur-road-bangalore
16185,AB's - Absolute Barbecue,Bengaluru,4.5,665.0,+91 7337336735,"European, Mediterranean, North Indian, BBQ",1600.0,"9/36, 2nd Floor, Vaishnavi Sapphire Centre, Tumkur Road, Yeshwantpur, Bangalore","Paan Ice Cream , Fish , Sea Food , Crispy Corn , Mocktails , Chilli Ice Cream , Salad",https://www.zomato.com/bangalore/abs-absolute-barbecue-yeshwantpur-bangalore
8192,Barbeque Nation,Bengaluru,4.5,8046.0,080 64806060,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,"4005, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore","Fish , Gulab Jamun , Paan Kulfi , Biryani , Prawn , Mocktails , Sea Food",https://www.zomato.com/bangalore/barbeque-nation-indiranagar
10667,Karma Kaapi,Bengaluru,4.5,252.0,+91 9380908955 +91 7483024632,"Beverages, Tea",250.0,"81, 36th Cross Road, 5th Block, Jayanagar, Bangalore","Coffee , Bombay Sandwich , Pasta , Potato Wedges , Fried Potato , Fries , Latte",https://www.zomato.com/bangalore/karma-kaapi-jayanagar
16353,Barbeque Nation,Bengaluru,4.5,1925.0,18001086060 +91 8064806060,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,"18-20, Ground Floor, Westgate Mall, Dr. Rajkumar Road, 4M Block, Rajajinagar, Bangalore","Fish , Mocktails , Paan Kulfi , Malai Kulfi , Sea Food , Brownie , Mutton Seekh",https://www.zomato.com/bangalore/barbeque-nation-rajajinagar
16014,Biergarten,Bengaluru,4.5,4367.0,080 47483513,"Continental, North Indian, Chinese, European, BBQ, Finger Food, Asian",2100.0,"4th B Cross, Koramangala 5th Block, Bangalore","Beer , Pizza , Nachos , Cocktails , Prawn Ghee Roast , Stout , Peri Peri Chicken",https://www.zomato.com/bangalore/biergarten-koramangala-5th-block
8266,The London Curry House - The Royale Senate Hotel,Bengaluru,4.5,4814.0,080 22209090 +91 9731322101,"Pizza, North Indian, Modern Indian",1700.0,"19/2, Kumara Krupa Road, Off Race Course Road, Bangalore","Panipuri , Pizza , Mocktails , Biryani , Momos , Chaat , Pav Bhaji Fondue",https://www.zomato.com/bangalore/the-london-curry-house-the-royale-senate-hotel-race-course-road-bangalore
8626,The Pizza Bakery,Bengaluru,4.5,2070.0,080 49652602,"Italian, Continental",1200.0,"2985, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore","Beer , Tiramisu , Stuffed Garlic Bread , Pasta , Ravioli , Barbeque Chicken Pizza , Mocktails",https://www.zomato.com/bangalore/the-pizza-bakery-1-indiranagar
9127,Chili's American Grill & Bar,Bengaluru,4.5,6904.0,+91 9500075479 +91 9535541956,"American, Tex-Mex, Burger, BBQ, Mexican",1400.0,"2nd Floor, Orion Mall, Dr. Rajkumar Road, Malleshwaram, Bangalore","Burgers , Nachos , Pasta , Cocktails , Fajita , Beer , Margarita",https://www.zomato.com/bangalore/chilis-american-grill-bar-malleshwaram
18102,Taaza Thindi,Bengaluru,4.5,776.0,080 49510845,South Indian,100.0,"115, 100 Feet Ring Road, Kathriguppe, Banashankari, Bangalore","Masala Dosa , Vada , Kesari Bath , Idli , Filtered Coffee , Upma , Kharabath",https://www.zomato.com/bangalore/taaza-thindi-banashankari
9151,The Big Barbeque,Bengaluru,4.5,1894.0,080 45128693,"BBQ, North Indian, Continental, Chinese",1500.0,"163, 2nd Floor, 1st Cross Road, Neeladri Nagar, Phase 1, Electronic City, Bangalore","Mocktails , Fish , Paan Shot , Chaat , Malai Kulfi , Gulab Jamun , Prawn",https://www.zomato.com/bangalore/the-big-barbeque-electronic-city-bangalore
8357,Windmills Craftworks,Bengaluru,4.5,6289.0,+91 8880233322,"American, North Indian, Salad",2500.0,"331, Road 5B, EPIP Area, Next to KTPO, Whitefield, Bangalore","Beer , Cocktails , Hefeweizen , Keema Pav , Nachos , Malai Tikka , Mocktails",https://www.zomato.com/bangalore/windmills-craftworks-whitefield
8203,The Black Pearl,Bengaluru,4.5,9207.0,080 49653069,"North Indian, European, Mediterranean, BBQ",1500.0,"20/7, Swamy Legato, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore","Cocktails , Paan Ice Cream , Mocktails , Fish , Dahipuri , Sea Food , Jalebi Rabri",https://www.zomato.com/bangalore/the-black-pearl-marathahalli
8209,Vapour Brewpub and Diner,Bengaluru,4.5,4006.0,+91 9900088233 +91 8287703367,"North Indian, Continental, Italian",1400.0,"7th Floor, Bren Mercury, Kaikondrahalli Junction, Sarjapur Road, Bangalore","Pizza , Wheat Beer , Cocktails , Vegetable Biryani , Pasta , Nachos , Craft Beer",https://www.zomato.com/bangalore/vapour-brewpub-and-diner-sarjapur-road
8810,Chianti,Bengaluru,4.5,4669.0,080 41265000 080 41264000,Italian,2000.0,"960, Next To Gold Gym,12thMain, HAL 2nd Stage, Indiranagar, Bangalore","Pasta , Pizza , Tiramisu , Wine , Bruschettas , Sangria , Ravioli",https://www.zomato.com/bangalore/chianti-2-indiranagar
9430,Arogya Ahaara,Bengaluru,4.5,570.0,+91 8277891811 +91 9483980808,South Indian,100.0,"13, AB Square,14th Main, Sector 5, HSR, Bangalore","Coffee , Idli , Masala Dosa , Vada , Kesari Bath , Gulab Jamun , Healthy Breakfast",https://www.zomato.com/bangalore/arogya-ahaara-hsr
13837,Chianti,Bengaluru,4.5,5082.0,080 41132021 080 41132024,Italian,2000.0,"12, 17th Main, 1st Cross, 5th A Block, Koramangala 5th Block, Bangalore","Pasta , Pizza , Tiramisu , Wine , Bruschettas , Sangria , Ravioli",https://www.zomato.com/bangalore/chianti-koramangala-5th-block
8741,CTR,Bengaluru,4.5,4683.0,080 23317531,South Indian,150.0,"7th Cross, Margosa Road, Malleshwaram, Bangalore","Benne Masala Dosa , Filtered Coffee , Butter Masala Dosa , Kesari Bath , Chai , Crispy Vada , Tea",https://www.zomato.com/bangalore/ctr-malleshwaram-bangalore
7993,Big Pitcher,Bengaluru,4.5,10789.0,080 49652494,"American, Continental, North Indian, Mediterranean",1800.0,"4121, LR Arcade, Old Airport Road, Bangalore","Cocktails , Pizza , Mocktails , Chicken Satay , Craft Beer , Nachos , Tawa Fish",https://www.zomato.com/bangalore/big-pitcher-airport-road
16257,Barbeque Nation,Bengaluru,4.5,4508.0,+91 8064806060,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,"67, 15th Cross, 6th B Main, JP Nagar, Bangalore","Fish , Paan Kulfi , Biryani , Mocktails , Lunch Buffet , Sea Food , Cocktails",https://www.zomato.com/bangalore/barbeque-nation-jp-nagar
13669,Belgian Waffle Factory,Bengaluru,4.5,475.0,+91 9481511911,Desserts,500.0,"Vasanth Nagar, Bangalore","Chocolate Waffles , Nachos , Nutella Waffle , Red Velvet Waffle , Oreo Waffle , Fries , Blueberry Waffles",https://www.zomato.com/bangalore/belgian-waffle-factory-1-vasanth-nagar
9439,Punjab Grill,Bengaluru,4.5,2503.0,+91 8022682400,"North Indian, Mughlai",2800.0,"26/1, Dr Rajkumar Road, Brigade Gateway Campus, Malleshwaram Bangalore","Butter Chicken , Paan Shot , Paneer Tikka , Cocktails , Biryani , Dal Makhani , Mocktails",https://www.zomato.com/bangalore/punjab-grill-malleshwaram
8041,Biergarten,Bengaluru,4.5,8263.0,+91 8047096233,"Continental, European, BBQ, Chinese, Asian",2400.0,"2, Doddanekkundi, Whitefield Road, Mahadevpura, Whitefield, Bangalore","Wheat Beer , Pizza , Nachos , Cocktails , Risotto , Craft Beer , Pav Bhaji",https://www.zomato.com/bangalore/biergarten-whitefield
9506,Sriracha Robata & Contemporary Pan Asian Dining,Bengaluru,4.5,91.0,+91 8042200082 +91 9930880374,"Asian, BBQ, Seafood, Chinese",1000.0,"608, 12th Main Road, HAL, 2nd Stage, Indiranagar, Bangalore","Pad Thai , Noodle , Lamb Skewer , Green Papaya Salad , Mousse , Jasmine Rice",https://www.zomato.com/bangalore/sriracha-robata-contemporary-pan-asian-dining-indiranagar-bangalore
17241,Hammered,Bengaluru,4.5,4044.0,+91 9590210210,"North Indian, Continental",1300.0,"3, 80 Feet Road, Opposite MK Tower, RMV 2nd Stage, New BEL Road, Bangalore","Pizza , Beer , Cocktails , Pasta , Nachos , Mocktails , Burgers",https://www.zomato.com/bangalore/hammered-new-bel-road-bangalore
17231,Hammered,Bengaluru,4.5,5945.0,+91 8041217527 +91 7618729481,"North Indian, Continental",1300.0,"18, Ali Askar Road, Cunningham Road, Bangalore","Pizza , Andhra Chicken , Pasta , Cocktails , Burgers , Nachos , Chicken Satay",https://www.zomato.com/bangalore/hammered-cunningham-road
8998,China Bistro,Bengaluru,4.5,353.0,080 37971868,"Asian, Chinese, Thai, Korean",1600.0,"2986, 1st Floor, Ashwini Complex, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore","Sushi , Cocktails , Dumplings , Lunch Buffet , Noodle , Tempura Prawns , Spring Roll",https://www.zomato.com/bangalore/china-bistro-indiranagar-bangalore
9032,Vanilla Sky,Bengaluru,4.5,1783.0,080 49653084,"Chinese, Continental, North Indian, Finger Food",1200.0,"253, 2nd Floor, 5th Main, 17th Cross, Sector 6, HSR, Bangalore","Cocktails , Mocktails , Beer , Fish , Gulab Jamun , Biryani , Momos",https://www.zomato.com/bangalore/vanilla-sky-hsr-bangalore
10800,XO Belgian Waffle,Bengaluru,4.5,920.0,+91 9686922551,"Desserts, Beverages",500.0,"105, 1st A Cross, Koramangala 5th Block, Bangalore","Hot Chocolate , Nutella Waffle , Chocolate Overload , Blueberry Waffles , Chocolate Drink , Caramel Coffee , Vanilla Ice Cream",https://www.zomato.com/bangalore/xo-belgian-waffle-koramangala-5th-block
1304,Namma SLN,Bengaluru,4.5,148.0,+91 9141311350,South Indian,100.0,"Gandhi Bazaar, Basavanagudi, Bangalore","Masala Dosa , Idli , Veg Pulao",https://www.zomato.com/bangalore/namma-sln-basavanagudi
8564,The Terrace at Gilly's Redefined,Bengaluru,4.5,1701.0,+91 9606493304 +91 9606493305,"Continental, Finger Food, Asian, North Indian",1400.0,"413, 100 Feet Road, Next E-Zone, Koramangala 4th Block, Bangalore","Pizza , Cocktails , Nachos , Chicken Wings , Craft Beer , Ravioli , Drunken Prawn",https://www.zomato.com/bangalore/the-terrace-at-gillys-redefined-koramangala-4th-block
9144,Output Bengaluru,Bengaluru,4.5,1384.0,080 49653064,"North Indian, Continental",1500.0,"Shop 36/4, 4th Floor, Soul Space Arena, Outer Ring Road, Doddanekkundi Village, Marathahalli, Bangalore","Cocktails , Craft Beer , Pasta , Bbq Chicken Pizza , Prawn , Long Island Iced Tea , Nachos",https://www.zomato.com/bangalore/output-bengaluru-marathahalli-bangalore
9577,Opus Food Stories,Bengaluru,4.5,414.0,+91 7349734900 00 08046444777,"Goan, Asian, North Indian, European, Continental",1800.0,"26, Varthur Hobli, Near HP Petrol Bunk, Harlur Road, Sarjapur Road, Bangalore","Cocktails , Pizza , Biryani , Chicken Tikka , Salad , Mocktails , Martini",https://www.zomato.com/bangalore/opus-food-stories-sarjapur-road-bangalore
15227,Sattvam,Bengaluru,4.5,174.0,080 49652538,"North Indian, South Indian",1500.0,"138/139, 3 Floor 3, Adjacent To Metro Wholesale, Opposite Decathlon, Garudacharapalya, Mahadevpura, Whitefield, Bangalore","Pasta , Panipuri , Paneer Tikka , Chole Bhature , Ice Cream Roll , Veg Buffet , Chaat",https://www.zomato.com/bangalore/sattvam-whitefield-bangalore
16346,Barbeque Nation,Bengaluru,4.5,4014.0,+91 8860216060,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,"86, 1st Cross, Koramangala 1st Block, Bangalore","Fish , Paan Kulfi , Biryani , Crispy Corn , Cocktails , Malai Kulfi , Tangdi Chicken",https://www.zomato.com/bangalore/barbeque-nation-koramangala-1st-block
8558,The Permit Room,Bengaluru,4.5,1786.0,+91 9019113388,"South Indian, Modern Indian",1500.0,"16/3, Ram Kunj, Commissariat Road, Brigade Road, Bangalore","Cocktails , Beer , Appam , Murgh Ghee Roast , Chilli Chicken , Chicken Curry , Donne Biryani",https://www.zomato.com/bangalore/the-permit-room-brigade-road-bangalore
8822,The Hobbit Cafe,Bengaluru,4.5,481.0,080 49653304,"Continental, Burger, Pizza, Asian",700.0,"12, 1st Main Road, Industrial Layout, Koramangala 5th Block, Bangalore","Pizza , Burgers , Momos , Mojito , Pasta , Mushroom Bruschettas , Chocolava",https://www.zomato.com/bangalore/the-hobbit-cafe-koramangala-5th-block-bangalore
16901,Toscano Wine Connection,Bengaluru,4.5,190.0,+91 8043779982 +91 7619320077,"Mediterranean, Italian",2400.0,"66/2,Siddapura Village,Varthur Hobli, Whitefield, Bangalore","Pizza , Wine , Pasta , Cheesecake , Ravioli , Tiramisu , Calamari",https://www.zomato.com/bangalore/toscano-wine-connection-varthur-main-road-whitefield-bangalore
8620,Olive Bar And Kitchen,Bengaluru,4.5,2323.0,080 41128400 +91 9945565483,"Mediterranean, European, Salad",1800.0,"16, Wood Street, Ashok Nagar, Richmond Road, Bangalore","Cocktails , Pizza , Salad , Pasta , Wine , Veg Platter , Mocktails",https://www.zomato.com/bangalore/olive-bar-and-kitchen-richmond-road
16494,Corner House Ice Cream,Bengaluru,4.5,274.0,+91 9880594010,"Ice Cream, Desserts",350.0,"1001, 9th Main, Sector 7, HSR Layout, Bangalore, HSR, Bangalore","Death By Chocolate , Hot Chocolate Fudge , Vanilla Ice Cream , Brownie Fudge , Fruit Salad , Thick Shakes , Fudge Cake",https://www.zomato.com/bangalore/corner-house-ice-cream-1-hsr
9005,Toast & Tonic,Bengaluru,4.5,1190.0,+91 8041116879 +91 9591506572,"European, Asian",2000.0,"14/1, Wood Street, Ashok Nagar, Richmond Road, Bangalore","Cocktails , Salad , Mushroom Toast , Chocolate Cheesecake , Risotto , Tomato Soup , Burgers",https://www.zomato.com/bangalore/toast-tonic-richmond-road-bangalore
8440,NoLimmits Lounge and Club,Bengaluru,4.5,2717.0,080 49333000 +91 9900426173,"Chinese, Continental, North Indian",2000.0,"8, 2nd Floor, Allied Grande Plaza, Diagonally Opposite Garuda Mall, Magrath Road, Brigade Road, Bangalore","Cocktails , Chicken Bbq Wings , Pizza , Salad , Paneer Tikka , Club Sandwich , Pasta",https://www.zomato.com/bangalore/nolimmits-lounge-and-club-brigade-road-bangalore
8760,Natural Ice Cream,Bengaluru,4.5,1052.0,080 25200059 080 25200159,"Ice Cream, Beverages",200.0,"Next to Apple Of My Eye, 12th Main, 2nd Stage, HAL, Off 100 Feet Road, Indiranagar, Bangalore","Mango Ice Cream , Waffle Cone , Coffee Walnut , Kala Jamun , Custard Apple , Tender Coconut Ice Cream , Kesar Pista",https://www.zomato.com/bangalore/natural-ice-cream-indiranagar
9722,Oota Bangalore,Bengaluru,4.5,558.0,080 49653131,South Indian,1700.0,"331, 5B, EPIP Zone Landmarks, Near L&T Infotech, Whitefield, Bangalore","Beer , Cocktails , Murgh Ghee Roast , Neer Dosa , Chicken Sukha , Biryani , Fish",https://www.zomato.com/bangalore/oota-bangalore-whitefield
8447,House Of Commons,Bengaluru,4.5,4204.0,080 45128819,"Continental, Asian, North Indian",1000.0,"1085, 14th Main, 18th Cross, Sector 3, HSR, Bangalore","Masala Peanuts , Cocktails , Nachos , Craft Beer , Spaghetti , Rustica Pizza , Fish",https://www.zomato.com/bangalore/house-of-commons-hsr
10723,Chai Days,Bengaluru,4.5,240.0,+91 8041455666,"Cafe, Tea, Beverages, Fast Food",200.0,"2019, 100 Feet Road, Indiranagar, Bangalore","Tea , Chicken Croissant , Saffron Chai , Banana Walnut Cake , Chicken Puff , Samosa , Veg Puff",https://www.zomato.com/bangalore/chai-days-indiranagar-bangalore
